"UF Residência";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"Ignorado/Em Branco";1;5;3;1;0;0;0;2;1;0;0;1;0;0;0;14
"Rondônia";11;15;12;15;21;13;18;30;17;15;15;27;19;27;29;284
"Acre";0;4;2;1;3;1;5;6;3;6;3;3;5;7;8;57
"Amazonas";21;21;19;36;41;27;39;47;47;35;38;56;67;66;71;631
"Roraima";8;5;3;7;3;8;8;5;12;2;3;3;5;13;14;99
"Pará";44;54;63;66;91;106;99;83;141;116;88;126;141;166;165;1549
"Amapá";1;7;6;14;7;4;10;7;4;7;4;10;11;15;20;127
"Tocantins";7;7;7;9;12;8;17;18;11;10;11;9;15;26;28;195
"Maranhão";29;49;32;55;66;80;76;73;95;94;68;88;100;118;119;1142
"Piauí";20;15;28;22;19;25;26;24;23;25;21;35;31;29;27;370
"Ceará";31;35;49;55;62;52;76;47;76;81;54;56;90;91;127;982
"Rio Grande do Norte";18;18;27;27;41;28;41;35;39;46;29;51;47;52;39;538
"Paraíba";10;21;20;23;17;19;24;24;30;31;30;23;21;36;35;364
"Pernambuco";56;56;66;96;74;74;85;109;104;92;83;102;100;107;125;1329
"Alagoas";7;15;10;10;16;14;21;33;42;31;26;35;49;32;51;392
"Sergipe";10;9;7;20;14;26;22;13;20;24;20;23;28;32;20;288
"Bahia";56;65;87;101;98;90;112;118;122;145;87;133;133;153;173;1673
"Minas Gerais";148;171;153;190;169;145;168;166;183;186;153;183;183;203;216;2617
"Espírito Santo";28;32;47;45;53;55;44;57;52;59;45;54;59;72;62;764
"Rio de Janeiro";217;221;231;252;243;255;212;249;222;256;210;254;250;305;280;3657
"São Paulo";346;370;336;378;352;380;417;403;451;398;346;392;437;429;469;5904
"Paraná";90;97;109;97;99;134;124;122;141;172;126;130;164;158;183;1946
"Santa Catarina";79;100;108;100;110;162;141;135;148;125;120;152;150;145;142;1917
"Rio Grande do Sul";209;245;259;289;277;252;275;272;312;299;245;269;309;324;343;4179
"Mato Grosso do Sul";21;24;35;31;31;28;46;47;39;49;32;50;59;57;70;619
"Mato Grosso";27;29;25;42;45;40;32;60;52;52;32;42;53;55;61;647
"Goiás";24;41;44;46;51;32;52;69;44;60;46;68;55;78;75;785
"Distrito Federal";12;17;15;21;19;22;20;24;19;25;19;25;22;32;21;313
"Total";1531;1748;1803;2049;2034;2080;2210;2278;2450;2441;1954;2400;2603;2828;2973;33382
&
