"Ano Diagnóstico";"Região Norte";"Região Nordeste";"Região Sudeste";"Região Sul";"Região Centro-Oeste";"Ignorado/Exterior";"Total"
"2010";92;237;739;378;84;1;1531
"2011";113;283;794;442;111;5;1748
"2012";112;326;767;476;119;3;1803
"2013";148;409;865;486;140;1;2049
"2014";178;407;817;486;146;0;2034
"2015";167;408;835;548;122;0;2080
"2016";196;483;841;540;150;0;2210
"2017";196;476;875;529;200;2;2278
"2018";235;551;908;601;154;1;2450
"2019";191;569;899;596;186;0;2441
"2020";162;418;754;491;129;0;1954
"2021";234;546;883;551;185;0;2399
"2022";263;599;929;623;189;0;2603
"2023";320;650;1009;627;222;0;2828
"2024";335;716;1027;668;227;0;2973
"Total";2942;7078;12942;8042;2364;13;33381
&
